Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
Heart & Vascular,Interventional Cardiology,"Interventional Cardiology, Coronary Artery Disease; Cardiac Catheterization; Cardiac CT Angiography",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Adam,Vohra,Y,English
Heart & Vascular,Non-Interventional Cardiology,Preventive Cardiology; CAD; Heart Failure; Arrhythmias; Sports Cardiology,UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,Alexandru,Marginean,Y,English; Romanian; Spanish
Heart & Vascular,Non-Interventional Cardiology,Preventive Cardiology; General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Amber,Johnson,Y,"English, French"
Heart & Vascular,Non-Interventional Cardiology,General/Preventive Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Amber,Kim,Y,English
Gastroenterology,Gastroenterology (IBD),Inflammatory Bowel Disease; Crohn’s; Ulcerative Colitis,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ameesh,Vora,Y,English
Gastroenterology,Gastroenterology (General/Motility),GERD; Esophageal motility; Dysphagia; Functional GI disorders,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Amit,Patel,Y,English
Heart & Vascular,Cardiac Electrophysiology,"Catheter Ablation of Cardiac Arrhythmias; Pacemakers & Defibrillators; Ventricular Tachycardia, Hypertrophic Cardiomyopathy",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Andrew,Beaser,Y,English
Heart & Vascular,Cardiac Electrophysiology,"Catheter Ablation of Cardiac Arrhythmias; Pacemakers & Defibrillators; Ventricular Tachycardia, Hypertrophic Cardiomyopathy",UChicago Medicine Outpatient Center at Ingalls – Harvey,Ingalls - Harvey,71 W. 156th St.,"Harvey, IL",60426,Andrew,Beaser,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Coronary Artery Disease, Hypertension; Arrhythmias; Heart Failure, Non-Invasive Cardiac (Heart) Testing",UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,Angel,Tejada,Y,English; Spanish
Gastroenterology,Hepatology (Liver),"Liver Diseases, Liver Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Anjana,Pillai,Y,English
Gastroenterology,Hepatology (Liver),"Liver Diseases, Liver Transplant",UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Anjana,Pillai,Y,English
Gastroenterology,Gastroenterology (General),General Gastroenterology; Endoscopy; Colonoscopy,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ankit,Bharadia,Y,English
Heart & Vascular,Interventional Cardiology,"Ventricular Assist Devices (VADs), Cardiomyopathy, Heart Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ann,Nguyen,Y,"English, Vietnamese"
Heart & Vascular,Interventional Cardiology,"Heart Failure; Heart Transplant, Cardiomyopathy, Ventricular Assist Devices (VADs)",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Anthony,Kanelidis,Y,"English, Spanish"
